Public_Food_Key,foodName,calories,protein,fat,transFat,carbohydrates,sugar,dietaryFiber,cholesterol,sodium,calcium,iron,vitaminC
F002948,"Choko, peeled, fresh, boiled, drained",103,0.6,0.2,,4.3,3.7,1.7,0,9,19,0.34,11
F003192,"Coriander, fresh, raw",132,3.1,0.6,0,1.9,1.2,3.2,0,45,86,4.5,30
F003209,"Corn, fresh on cob, raw",366,3.6,1.8,0,12.5,5.4,3.8,0,19,16,1.2,3
F003200,"Corn, fresh on cob, boiled, drained",381,3.8,1.9,,13,5.6,4,0,19,16,1.19,2
F003220,"Corn, kernels, canned in brine, drained",391,2.9,1,0,16.8,3.5,2.7,0,170,2,0.42,3
F003202,"Corn, kernels, purchased frozen, raw",390,3,0.9,0,16.8,3,2.5,0,5,3,0.4,4
F003201,"Corn, kernels, purchased frozen, boiled, drained",452,3.1,0.9,0,19.9,2.6,3.5,0,8,5,0.6,5
F003319,"Cucumber, common, peeled, raw",50,0.4,0.1,0,2.1,2.1,0.6,0,21,13,0.3,8
F003320,"Cucumber, common, unpeeled, raw",50,0.8,0.1,0,1.2,1.2,1.4,0,10,18,0.22,7
F003321,"Cucumber, Lebanese, unpeeled, raw",52,0.6,0,0,2,1.9,0.9,0,12,42,0.27,9
F003324,"Cucumber, telegraph, unpeeled, raw",56,1.2,0.1,0,1.4,1.4,0.9,0,16,49,0.3,8
F003509,"Dill, fresh, raw",170,3.4,1.2,0,2.5,1.2,3.3,0,42,170,1.9,66
F003761,"Eggplant, unpeeled, fresh, raw",93,1.1,0.3,0,2.6,2.6,2.4,0,5,23,0.2,3
F003760,"Eggplant, unpeeled, fresh, grilled, no added fat",132,1.6,0.4,,3.7,3.7,3.5,0,7,31,0.27,3
F003759,"Eggplant, unpeeled, fresh, baked, no added fat",109,1.3,0.4,,3,3,2.9,0,6,27,0.24,3
F003784,"Endive, fresh, raw",58,1.5,0.2,0,0.4,0.3,2.2,0,76,46,1.7,18
F003820,"Fennel, fresh, raw",92,1,0.1,0,3.3,3.3,1.8,0,38,20,0.1,9
F003819,"Fennel, fresh, boiled, drained",108,1.2,0.1,,3.9,3.9,2.1,0,42,22,0.11,8
F004193,"Garlic, peeled, fresh, raw",522,6.1,2.8,0,10.2,1.5,16.9,0,8,30,1.7,11
F004192,"Garlic, peeled, fresh, fried, no added fat",842,9.8,4.5,,16.4,2.4,27.2,0,13,48,2.74,15
F004206,"Gherkin, pickled, drained, commercial",441,0.4,0.3,0,24.4,23.6,0.9,0,520,22,0.5,0
F004213,"Ginger, peeled, fresh, raw",132,0.8,0.4,0,4.8,1.7,2.8,0,11,17,0.6,3
F004212,"Ginger, peeled, fresh, fried, no added fat",160,1,0.5,,5.8,2.1,3.4,0,13,21,0.73,3
F004781,"Kale, raw",103,3.3,0,0,0.3,0.3,4.7,0,120,230,1.6,32
F004820,"Kohlrabi, peeled, fresh, raw",163,3.7,0.1,0,4.2,4.2,3.3,0,16,25,0.7,71
F004780,"Kale, cooked, no added fat",147,4.7,0,,0.4,0.4,6.7,0,171,328,2.28,39
F004819,"Kohlrabi, peeled, fresh, boiled, drained",170,3.8,0.1,,4.4,4.4,3.4,0,16,25,0.69,55
F005164,"Leek, fresh, raw",136,2.1,0.4,0,3.7,3.7,3.1,0,17,33,0.7,30
F005163,"Leek, fresh, fried, no added fat",164,2.5,0.5,,4.4,4.4,3.7,0,20,40,0.84,31
F005162,"Leek, fresh, boiled, drained",151,2.3,0.4,,4.1,4.1,3.4,0,18,35,0.74,25
F005191,"Lettuce, cos, raw",80,1.4,0.3,0,1.8,1.8,1.8,0,18,20,0.7,13
F005192,"Lettuce, iceberg, raw",60,1,0,0,2.1,2.1,1.1,0,12,18,0.26,2
F005193,"Lettuce, mignonette, raw",64,1.3,0.3,0,1.1,1.1,1.4,0,18,20,1.1,12
F009788,"Mixed leafy greens, commercial, raw",54,2.2,0,0,0,0,2,0,91,96,1.6,2
F005513,"Melon, bitter, fresh, raw",46,0.9,0,0,0.2,0.1,3.3,0,3,22,0.9,50
F005514,"Melon, hairy, fresh, raw",61,0.7,0,0,2,1.7,2.1,0,2,12,0.3,69
F005700,"Mint, fresh, raw",225,3.1,1.1,0,4.4,0.9,7.2,0,28,210,3.6,26
F005813,"Mixed vegetables, purchased frozen, carrot, corn & pea/bean, boiled, drained",187,1.8,0.3,0,5.9,2.7,5.9,0,25,31,0.58,4
